Distance;BBnoise;Buoy;Soundgp;DURATION;RLp;NLp;CENTRETIMEp;Q1Tp;Q3Tp;IQTp;C10Tp;C90Tp;ICTp;MAXTIMEp;MINTIMEp;CENTRETIMEs;Q1Ts;Q3Ts;IQTs;C10Ts;C90Ts;ICTs;MAXTIMEs;MINTIMEs;PEAKFREQUENCY;CENTREFREQUENCY;Q1F;Q3F;IQF;C10F;C90F;ICF;Q1TFREQ;Q3TFREQ;PEAKFREQUENCYlog;CENTREFREQUENCYlog;Q1Flog;Q3Flog;IQFlog;C10Flog;C90Flog;ICFlog;Q1TFREQlog;Q3TFREQlog;TRENDF;SLpp;SLrms;SLefd;NLrms;SNRrms;SLrmsBAND;NLrmsBAND;SNRrmsBAND;RLSNRb;Source
952;100;1;516;0.832426304;126.727647;127.3852107;58.1530918;33.92536094;74.82429856;40.89893762;24.18414601;76.75837646;52.57423045;78.10405884;2.789430673;0.484081633;0.282403628;0.622857143;0.340453515;0.201315193;0.638956916;0.437641723;0.65015873;0.023219955;156.1157227;149.3865967;134.5825195;162.8448486;28.2623291;115.7409668;183.0322266;67.29125977;138.6199951;144.0032959;2.193446644;2.174311633;2.128988655;2.211774025;1.451207949;2.063487106;2.262527563;1.827958659;2.141825879;2.158372432;0.962616822;176.414008;157.5679894;156.7716839;98.03457114;59.53341821;158.0090223;93.45598652;64.55303578;8.322661321;wind
552;101;2;516;0.781043084;127.5140685;126.1610159;52.94390895;21.22285449;71.46092208;50.23806759;16.95505748;92.68377656;75.72871908;65.4047149;2.972941586;0.413514739;0.165759637;0.55814059;0.392380952;0.132426304;0.723900227;0.591473923;0.510839002;0.023219955;139.9658203;150.7324219;134.5825195;201.8737793;67.29125977;123.815918;231.4819336;107.6660156;138.6199951;141.3116455;2.146021994;2.178206677;2.128988655;2.305079914;1.827958659;2.092776482;2.364517101;2.032078642;2.141825879;2.150177954;0.980952381;170.7236254;154.5776655;153.5046675;97.95911077;56.61855469;154.4457134;92.55480225;61.89091115;10.23615645;wind
1819;102;5;516;0.708707483;118.2333328;121.0354806;59.29481026;37.62078454;71.60683433;33.98604979;9.112433608;86.98406604;77.87163243;62.25123184;29.48742561;0.420226757;0.266621315;0.507482993;0.240861678;0.064580499;0.616462585;0.551882086;0.441179138;0.208979592;144.0032959;177.6489258;145.3491211;230.1361084;84.7869873;127.8533936;343.1854248;215.3320313;133.2366943;211.2945557;2.158372432;2.249562586;2.16241241;2.361984765;1.928329204;2.10671226;2.535528835;2.333108637;2.124623849;2.324888307;0.630573248;166.8231444;151.6470185;150.1519666;96.06402486;55.58299362;149.7242556;89.12967964;60.59457596;-0.865555954;wind
952;100;1;517;0.507256236;127.3925084;125.4621849;62.72686634;51.64059008;71.76575771;20.12516764;34.34063478;82.55699598;48.2163612;73.2409477;13.73267769;0.318185941;0.261950113;0.364036281;0.102086168;0.174195011;0.41877551;0.244580499;0.371519274;0.069659864;102.2827148;94.20776367;75.36621094;109.0118408;33.64562988;56.5246582;127.8533936;71.32873535;57.8704834;94.20776367;2.009802247;1.974086695;1.877176682;2.037473673;1.526928663;1.752237945;2.10671226;1.853264524;1.76245711;1.974086695;0.614285714;172.2226015;162.0166693;159.0693315;97.96557993;64.05108936;162.4512748;90.53627214;71.91500264;17.62118167;wind
552;101;2;517;0.615238095;125.2495862;126.1806141;70.41132242;55.70544007;80.87129589;25.16585582;40.94058676;86.856848;45.91626124;71.70868347;15.09656494;0.433197279;0.342721088;0.49755102;0.154829932;0.251882086;0.534376417;0.282494331;0.441179138;0.092879819;98.24523926;99.59106445;84.7869873;115.7409668;30.95397949;71.32873535;144.0032959;72.67456055;91.51611328;100.9368896;1.992311515;1.998220374;1.928329204;2.063487106;1.490716491;1.853264524;2.158372432;1.861382414;1.961497567;2.004049918;0.906666667;165.4658691;150.7543322;148.6450845;97.99838204;52.75595015;151.1579931;89.57409039;61.58390276;9.941710249;wind
1819;102;5;517;0.464263039;116.9047225;119.4144771;60.95535802;37.54029501;82.53394549;44.99365048;18.1400801;90.71016899;72.57008889;45.01318746;20.00586109;0.282993197;0.174285714;0.383174603;0.208888889;0.084217687;0.421133787;0.3369161;0.208979592;0.092879819;107.6660156;129.1992188;109.0118408;161.4990234;52.48718262;96.89941406;205.9112549;109.0118408;135.9283447;113.0493164;2.032078642;2.111259888;2.037473673;2.208169901;1.720053262;1.986321151;2.313680085;2.037473673;2.133310028;2.053267941;1.202380952;162.7057536;147.7154264;144.3834917;96.20464283;51.51078356;145.5952419;91.01294881;54.58229309;-2.205789179;wind
952;100;1;518;1.833650794;124.9731959;134.9313992;56.12633558;41.09368817;85.79837752;44.70468935;14.60724179;95.14740799;80.5401662;59.51721409;3.798971112;1.029160998;0.753514739;1.57324263;0.819727891;0.267845805;1.744671202;1.476825397;1.091337868;0.069659864;60.56213379;76.71203613;63.25378418;110.357666;47.10388184;51.14135742;172.265625;121.1242676;71.32873535;72.67456055;1.782201168;1.88486351;1.801086512;2.042802507;1.673056699;1.708772251;2.236198624;2.083231164;1.853264524;1.861382414;0.981481481;161.1346533;150.974225;153.6074987;98.75613286;52.21809215;150.2867263;93.67259325;56.61413308;14.12526899;wind
552;101;2;518;1.946213152;125.331845;124.799669;52.8545463;39.47196719;80.0857529;40.61378571;12.86526541;88.85678333;75.99151792;51.30260521;21.47550916;1.028662132;0.768208617;1.558639456;0.790430839;0.250385488;1.729342404;1.478956916;0.99845805;0.417959184;78.05786133;121.1242676;79.40368652;208.6029053;129.1992188;64.59960938;298.7731934;234.173584;69.98291016;78.05786133;1.892416648;2.083231164;1.899840666;2.319320353;2.111259888;1.810229892;2.475341629;2.369537903;1.844991998;1.892416648;0.896551724;159.0132077;143.0990814;145.9910866;95.8176396;47.28144178;141.7534977;89.869423;51.88407466;7.072134923;wind
1819;102;5;518;1.481088435;122.2728454;119.8860645;55.56984506;41.21501623;82.83422132;41.6192051;14.03025292;92.61130504;78.58105212;53.30393778;37.62630902;0.823038549;0.610430839;1.226848073;0.616417234;0.207800454;1.371655329;1.163854875;0.789478458;0.557278912;53.83300781;60.56213379;47.10388184;148.0407715;100.9368896;37.68310547;231.4819336;193.7988281;152.0782471;49.79553223;1.731048646;1.782201168;1.673056699;2.17038134;2.004049918;1.576146686;2.364517101;2.287351147;2.182067098;1.697190379;3.054054054;163.1258927;150.4862848;152.1922277;96.18567825;54.30060658;148.432278;91.19295317;57.23932482;5.57923073;wind
952;100;1;519;0.627120181;123.1911011;134.5600876;63.25571305;47.08562337;71.90483078;24.81920741;32.84639861;80.43824125;47.59184264;66.64738212;11.10789702;0.396689342;0.295283447;0.450929705;0.155646259;0.205986395;0.504444444;0.29845805;0.417959184;0.069659864;146.6949463;134.5825195;107.6660156;150.7324219;43.06640625;74.02038574;164.1906738;90.17028809;135.9283447;157.4615479;2.166415152;2.128988655;2.032078642;2.178206677;1.634138633;1.869351344;2.215348485;1.955063457;2.133310028;2.197174516;0.863247863;160.7294988;150.8884433;148.8622651;99.27501275;51.61343054;149.3681491;95.0667076;54.3014415;11.82975141;wind
